EID_100001, Marchand, Dylan, (024) 777 739 815, dylan.marchand@heig-vd.ch, MALE, TIN, Assistant
EID_100002, Belmondo, Emilie, (024) 777 660 613, emilie.belmondo@heig-vd.ch, FEMALE, HEG, Etudiant
EID_100003, Simpson, Fabien, (024) 777 582 337, fabien.simpson@heig-vd.ch, MALE, COMEM, Administratif
EID_100004, Simpson, Danièle, (024) 777 125 329, danièle.simpson@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100005, Bauer, Luc, (024) 777 516 404, luc.bauer@heig-vd.ch, MALE, HEG, Professeur
EID_100006, Belmondo, Albert, (024) 777 572 406, albert.belmondo@heig-vd.ch, MALE, TIN, Professeur
EID_100007, Simpson, Guillaume, (024) 777 602 122, guillaume.simpson@heig-vd.ch, MALE, TIC, Professeur
EID_100008, Bauer, Emilie, (024) 777 569 678, emilie.bauer@heig-vd.ch, FEMALE, TIC, Professeur
EID_100009, Bauer, Fabien, (024) 777 637 312, fabien.bauer@heig-vd.ch, MALE, TIC, Etudiant
EID_100010, Dupond, Carole, (024) 777 345 310, carole.dupond@heig-vd.ch, FEMALE, HEG, Etudiant
EID_100011, Durant, Carine, (024) 777 242 155, carine.durant@heig-vd.ch, FEMALE, EC, Administratif
EID_100012, Smith, Emilie, (024) 777 397 343, emilie.smith@heig-vd.ch, FEMALE, DEPG, Administratif
EID_100013, Delon, Bernard, (024) 777 731 635, bernard.delon@heig-vd.ch, MALE, COMEM, Administratif
EID_100014, Simpson, Emil, (024) 777 246 746, emil.simpson@heig-vd.ch, MALE, TIN, Administratif
EID_100015, Marchand, Faustine, (024) 777 417 291, faustine.marchand@heig-vd.ch, FEMALE, DEPG, Etudiant
EID_100016, Dupont, Frédéric, (024) 777 734 870, frédéric.dupont@heig-vd.ch, MALE, TIN, Assistant
EID_100017, De Villiers, Julien, (024) 777 719 847, julien.de villiers@heig-vd.ch, MALE, COMEM, Professeur
EID_100018, Bauer, Emil, (024) 777 589 219, emil.bauer@heig-vd.ch, MALE, COMEM, Professeur
EID_100019, Durant, Henriette, (024) 777 556 813, henriette.durant@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100020, Belmondo, Faustine, (024) 777 669 839, faustine.belmondo@heig-vd.ch, FEMALE, TIC, Administratif
EID_100021, Belmondo, Bernard, (024) 777 581 888, bernard.belmondo@heig-vd.ch, MALE, COMEM, Administratif
EID_100022, Clément, Gontran, (024) 777 326 417, gontran.clément@heig-vd.ch, MALE, EC, Etudiant
EID_100023, Durant, Edgar, (024) 777 591 867, edgar.durant@heig-vd.ch, MALE, EC, Assistant
EID_100024, De Decker, Guillaume, (024) 777 170 687, guillaume.de decker@heig-vd.ch, MALE, EC, Professeur
EID_100025, Jones, Emma, (024) 777 564 444, emma.jones@heig-vd.ch, FEMALE, EC, Assistant
EID_100026, Delon, Julie, (024) 777 130 203, julie.delon@heig-vd.ch, FEMALE, HEG, Professeur
EID_100027, Jones, Didier, (024) 777 669 314, didier.jones@heig-vd.ch, MALE, DEPG, Assistant
EID_100028, Durant, Henriette, (024) 777 442 844, henriette.durant@heig-vd.ch, FEMALE, TIN, Professeur
EID_100029, Marchand, Frédéric, (024) 777 836 781, frédéric.marchand@heig-vd.ch, MALE, COMEM, Etudiant
EID_100030, Dupont, Amélie, (024) 777 620 188, amélie.dupont@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100031, Dupond, Henriette, (024) 777 259 718, henriette.dupond@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100032, Dupont, Bernard, (024) 777 856 582, bernard.dupont@heig-vd.ch, MALE, EC, Administratif
EID_100033, Belmondo, Carole, (024) 777 245 117, carole.belmondo@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100034, Belmondo, Julie, (024) 777 480 316, julie.belmondo@heig-vd.ch, FEMALE, TIN, Professeur
EID_100035, Clément, Cédric, (024) 777 217 524, cédric.clément@heig-vd.ch, MALE, EC, Administratif
EID_100036, Clément, Emma, (024) 777 893 495, emma.clément@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100037, Smith, Henriette, (024) 777 370 165, henriette.smith@heig-vd.ch, FEMALE, TIN, Assistant
